x	term	good	error
1.5500000000e+01	0	1.5500000000e+01	7.4072354516e+01
1.5500000000e+01	1	-6.0514583333e+02	2.9319498409e+03
1.5500000000e+01	2	6.8503622396e+03	3.3177891781e+04
1.5500000000e+01	3	-3.5796919058e+04	1.7337899988e+05
1.5500000000e+01	4	1.0650876611e+05	5.1586118375e+05
1.5500000000e+01	5	-2.0429978717e+05	9.8950203550e+05
1.5500000000e+01	6	2.7436530850e+05	1.3288538198e+06
1.5500000000e+01	7	-2.7325035453e+05	1.3234556766e+06
1.5500000000e+01	8	2.1044325960e+05	1.0192551929e+06
1.5500000000e+01	9	-1.2934443278e+05	6.2646494273e+05
1.5500000000e+01	10	6.5022217445e+04	3.1492615867e+05
1.5500000000e+01	11	-2.7263529030e+04	1.3204856882e+05
1.5500000000e+01	12	9.6892219542e+03	4.6927561647e+04
1.5500000000e+01	13	-2.9573569974e+03	1.4324596964e+04
1.5500000000e+01	14	7.8444176263e+02	3.7983477485e+03
1.5500000000e+01	15	-1.8218958370e+02	8.8341296883e+02
1.5500000000e+01	16	3.7728201293e+01	1.8173192921e+02
1.5500000000e+01	17	-6.6711666441e+00	3.3310979828e+01
1.5500000000e+01	18	1.3370526855e+00	5.4758511749e+00
1.5500000000e+01	19	3.8824147074e-02	8.1195999142e-01
1.5500000000e+01	20	2.2900671192e-01	1.0916600413e-01
1.5500000000e+01	21	2.0370695489e-01	1.3370275178e-02
1.5500000000e+01	22	2.0677678652e-01	1.4980789150e-03
1.5500000000e+01	23	2.0643565467e-01	1.5415146009e-04
1.5500000000e+01	24	2.0647050031e-01	1.4619095868e-05
1.5500000000e+01	25	2.0646721730e-01	1.2817378837e-06
1.5500000000e+01	26	2.0646750349e-01	1.0439248966e-07
1.5500000000e+01	27	2.0646748034e-01	7.7347232599e-09
